gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat
female,single,0,0,151,58,72,4-6 times a week,2-3 times a week,less than one a week,4-6 times a week,everyday,mix of vegetables oil
female,single,1,1,162,60,68,everyday,once a week,everyday,everyday,less than one a week,sunflower oil
female,single,0,4,162,75,78,2-3 times a week,less than one a week,everyday,once a week,everyday,sunflower oil
female,single,0,0,154,45,91,never,4-6 times a week,4-6 times a week,never,2-3 times a week,margarine
female,single,2,1,154,50,65,everyday,2-3 times a week,everyday,everyday,2-3 times a week,margarine
female,single,2,0,159,66,82,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,single,2,0,160,66,74,2-3 times a week,2-3 times a week,everyday,everyday,everyday,mix of vegetables oil
female,single,0,2,163,66,73,4-6 times a week,once a week,everyday,everyday,less than one a week,mix of vegetables oil
female,single,0,3,154,60,89,4-6 times a week,2-3 times a week,everyday,everyday,everyday,mix of vegetables oil
female,single,0,2,160,77,87,once a week,2-3 times a week,everyday,4-6 times a week,never,peanut oil
female,single,0,2,175,68,91,everyday,once a week,everyday,everyday,everyday,peanut oil
female,single,2,0,165,75,81,everyday,once a week,once a week,2-3 times a week,never,mix of vegetables oil
female,single,0,3,158,53,89,4-6 times a week,once a week,everyday,everyday,everyday,sunflower oil
female,single,2,0,155,63,79,2-3 times a week,less than one a week,everyday,2-3 times a week,once a week,sunflower oil
female,single,0,2,154,80,83,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,peanut oil
male,single,0,3,166,80,78,everyday,never,everyday,2-3 times a week,never,sunflower oil
female,single,0,2,159,57,74,2-3 times a week,once a week,everyday,2-3 times a week,less than one a week,sunflower oil
female,single,0,2,157,55,74,2-3 times a week,once a week,everyday,everyday,once a week,peanut oil
male,single,0,1,165,57,78,everyday,once a week,everyday,everyday,everyday,sunflower oil
female,single,0,0,156,90,78,everyday,less than one a week,everyday,everyday,once a week,sunflower oil
male,living with spouse,0,1,175,90,73,everyday,less than one a week,everyday,2-3 times a week,once a week,duck or goose fat
female,living with spouse,2,2,161,68,76,4-6 times a week,once a week,everyday,everyday,less than one a week,butter
male,living with spouse,2,2,168,83,85,4-6 times a week,once a week,everyday,everyday,less than one a week,butter
male,single,0,4,168,90,73,2-3 times a week,once a week,4-6 times a week,everyday,never,peanut oil
female,living with spouse,3,1,156,56,77,2-3 times a week,once a week,everyday,2-3 times a week,never,sunflower oil
male,living with spouse,3,2,170,70,74,2-3 times a week,once a week,everyday,2-3 times a week,never,sunflower oil
female,single,0,0,162,58,67,4-6 times a week,2-3 times a week,everyday,everyday,never,peanut oil
male,living with spouse,4,5,172,80,68,everyday,2-3 times a week,everyday,everyday,everyday,olive oil
female,single,1,1,165,75,69,4-6 times a week,2-3 times a week,everyday,everyday,everyday,peanut oil
male,living with spouse,0,2,171,81,71,4-6 times a week,once a week,everyday,everyday,everyday,peanut oil
female,living with spouse,0,1,160,54,67,4-6 times a week,4-6 times a week,everyday,2-3 times a week,once a week,sunflower oil
male,living with spouse,0,3,176,82,76,2-3 times a week,2-3 times a week,2-3 times a week,everyday,everyday,mix of vegetables oil
male,living with spouse,0,3,164,53,69,everyday,2-3 times a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,1,2,156,58,67,everyday,2-3 times a week,everyday,everyday,everyday,peanut oil
female,single,0,2,153,70,69,everyday,never,everyday,everyday,2-3 times a week,olive oil
male,living with spouse,1,0,159,70,85,2-3 times a week,less than one a week,everyday,4-6 times a week,everyday,butter
male,living with spouse,0,5,170,60,74,4-6 times a week,once a week,everyday,everyday,everyday,butter
male,living with family,0,0,178,87,78,2-3 times a week,once a week,4-6 times a week,2-3 times a week,once a week,butter
male,living with spouse,1,2,172,86,73,once a week,everyday,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,0,3,186,95,74,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,3,168,77,69,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
male,single,0,0,181,94,71,2-3 times a week,once a week,everyday,2-3 times a week,everyday,olive oil
male,single,0,1,172,62,85,everyday,2-3 times a week,everyday,everyday,never,olive oil
male,living with spouse,0,0,160,55,70,everyday,2-3 times a week,everyday,everyday,everyday,margarine
female,living with spouse,0,0,155,50,73,everyday,less than one a week,everyday,everyday,never,peanut oil
male,living with spouse,0,1,172,81,74,everyday,less than one a week,everyday,everyday,never,peanut oil
female,living with spouse,0,2,160,62,77,2-3 times a week,once a week,2-3 times a week,everyday,never,sunflower oil
female,single,0,1,158,51,69,everyday,less than one a week,everyday,everyday,less than one a week,sunflower oil
female,single,0,2,160,49,76,2-3 times a week,2-3 times a week,everyday,everyday,2-3 times a week,sunflower oil
female,single,0,0,164,70,79,2-3 times a week,2-3 times a week,4-6 times a week,everyday,never,olive oil
female,living with spouse,0,3,153,60,65,2-3 times a week,2-3 times a week,2-3 times a week,4-6 times a week,2-3 times a week,sunflower oil
male,living with spouse,0,4,169,68,66,2-3 times a week,2-3 times a week,less than one a week,4-6 times a week,less than one a week,sunflower oil
female,single,2,1,165,65,85,everyday,everyday,everyday,everyday,2-3 times a week,olive oil
male,single,0,2,166,66,90,2-3 times a week,once a week,everyday,2-3 times a week,never,peanut oil
male,single,0,3,176,85,75,everyday,everyday,everyday,once a week,never,margarine
male,living with spouse,0,2,180,79,78,less than one a week,2-3 times a week,everyday,everyday,less than one a week,butter
male,single,0,2,174,75,87,2-3 times a week,2-3 times a week,everyday,everyday,everyday,butter
female,single,0,2,160,60,88,2-3 times a week,less than one a week,everyday,2-3 times a week,never,peanut oil
female,single,0,1,160,67,89,2-3 times a week,4-6 times a week,2-3 times a week,everyday,less than one a week,sunflower oil
male,living with spouse,0,0,188,82,70,4-6 times a week,2-3 times a week,everyday,4-6 times a week,never,peanut oil
female,living with spouse,2,0,160,83,71,2-3 times a week,2-3 times a week,everyday,4-6 times a week,2-3 times a week,mix of vegetables oil
male,living with spouse,0,2,179,67,76,everyday,once a week,everyday,2-3 times a week,2-3 times a week,margarine
female,living with spouse,2,1,157,57,72,everyday,once a week,less than one a week,everyday,everyday,sunflower oil
male,living with spouse,0,2,188,96,88,2-3 times a week,2-3 times a week,everyday,everyday,never,margarine
male,single,0,3,174,74,68,2-3 times a week,everyday,everyday,everyday,everyday,olive oil
male,single,0,2,173,75,72,everyday,2-3 times a week,everyday,2-3 times a week,everyday,butter
female,single,0,3,160,60,78,4-6 times a week,2-3 times a week,everyday,2-3 times a week,less than one a week,mix of vegetables oil
female,single,0,2,150,55,67,everyday,once a week,everyday,everyday,never,peanut oil
male,living with spouse,4,1,170,76,76,4-6 times a week,2-3 times a week,everyday,4-6 times a week,less than one a week,sunflower oil
male,living with spouse,0,3,180,90,68,everyday,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,2,152,60,69,everyday,2-3 times a week,everyday,4-6 times a week,less than one a week,sunflower oil
male,living with spouse,0,3,162,74,67,everyday,2-3 times a week,everyday,4-6 times a week,once a week,sunflower oil
female,living with spouse,1,2,152,64,66,everyday,2-3 times a week,2-3 times a week,everyday,everyday,peanut oil
male,living with spouse,0,2,165,90,79,everyday,once a week,everyday,everyday,everyday,olive oil
female,living with spouse,0,0,154,42,78,2-3 times a week,once a week,once a week,everyday,less than one a week,olive oil
male,living with spouse,0,1,173,80,74,2-3 times a week,2-3 times a week,4-6 times a week,everyday,everyday,olive oil
female,living with spouse,0,5,153,59,71,4-6 times a week,2-3 times a week,everyday,everyday,everyday,olive oil
female,living with spouse,0,1,175,50,77,2-3 times a week,4-6 times a week,everyday,everyday,4-6 times a week,margarine
male,living with spouse,0,0,177,63,78,2-3 times a week,4-6 times a week,everyday,everyday,never,margarine
male,living with spouse,0,3,172,79,78,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,4,1,167,70,75,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,0,2,155,52,67,2-3 times a week,less than one a week,everyday,4-6 times a week,never,sunflower oil
female,single,0,0,162,58,74,2-3 times a week,once a week,less than one a week,everyday,never,sunflower oil
female,single,0,2,156,54,76,4-6 times a week,once a week,everyday,everyday,2-3 times a week,sunflower oil
female,single,2,0,152,44,73,2-3 times a week,2-3 times a week,everyday,never,everyday,margarine
